	created_at	full_text
0	Tue Jun 08 10:57:05 +0000 2021	Δεν είναι στροφή προς το μέλλον η κατάργηση των εργασιακών δικαιωμάτων και η πληρωμή με ρεπό. Δεσμεύομαι ότι αυτές οι βαθιά αντιλαϊκές ρυθμίσεις θα καταργηθούν μόλις δοθεί η δυνατότητα σε μία προοδευτική κυβέρνηση. https://t.co/zA5IVPXljk
1	Sat Jun 05 10:39:21 +0000 2021	"Η Πράσινη Επανάσταση είναι το χρέος μας απέναντι στις επόμενες γενιές. Όχι μόνο στα παιδιά και τα εγγόνια μας, αλλά και σε όλους αυτούς τους ανθρώπους που δεν θα γνωρίσουμε ποτέ, όμως έχουν δικαίωμα να ζήσουν και να αναπνεύσουν σε έναν πλανήτη βιώσιμο.
#WorldEnvironmentDay"
2	Thu Jun 03 19:12:55 +0000 2021	Στη δική μας αντίληψη, η Δημοκρατία περνά μέσα από το Περιβάλλον. Η επιτυχία της Πράσινης Επανάστασης απαιτεί ευαισθητοποίηση, συνειδητοποίηση, κινητοποίηση, συμμετοχή. Πράσινη Επανάσταση σημαίνει ανάπτυξη για όλους, όχι για τους λίγους και τους εκλεκτούς.
3	Thu Jun 03 17:09:49 +0000 2021	"Ομιλία στην εκδήλωση του ΣΥΡΙΖΑ - Προοδευτική Συμμαχία «Ελλάδα + Περιβάλλον».
https://t.co/wz6gDgMrqg"
4	Thu Jun 03 10:33:37 +0000 2021	Η Ελλάδα έχει μια κυβέρνηση που βγάζει πολιτικές από το χρονοντούλαπο της Ιστορίας, από τη ναφθαλίνη του Ρήγκαν και της Θάτσερ. Οι ιδέες μας, οι ιδέες της Αριστεράς είναι ξανά επίκαιρες μετά από 40 χρόνια. https://t.co/HlN8CLfD9m
5	Wed Jun 02 18:10:20 +0000 2021	«Ελλάδα+Περιβάλλον»: Αύριο, στις 8 το βράδυ, στο πλαίσιο της διαβούλευσης με τους κοινωνικούς φορείς και θεσμούς, παρουσιάζουμε τις προτάσεις του ΣΥΡΙΖΑ - Προοδευτική Συμμαχία για το Περιβάλλον, την Κλιματική Κρίση και την Πράσινη Μετάβαση. https://t.co/NlRb7rLV86
6	Mon May 31 20:25:00 +0000 2021	Ο κ. Μητσοτάκης έχει ένα σοβαρό έλλειμμα στρατηγικής στην εξωτερική πολιτική. Σήμερα, που του δίνεται η ευκαιρία με όρους και προϋποθέσεις να θέσει τα μεγάλα ζητήματα στο τραπέζι του διαλόγου, επιλέγει να κάνει διάλογο για τον διάλογο.  #Συνέντευξη
7	Mon May 31 20:20:00 +0000 2021	Είμαι υπέρ του ουσιαστικού διαλόγου με την Τουρκία. Αυτή μπορεί να είναι και η μόνη απάντηση στη στάση της, ώστε να έρθει ενώπιον των ευθυνών της στη διεθνή κοινότητα. Δυστυχώς, δεν το κάνει αυτό η κυβέρνηση. #Συνέντευξη
8	Mon May 31 20:15:00 +0000 2021	"Τα χρήματα από το Ταμείο Ανάκαμψης είναι μια ευκαιρία να αλλάξουμε παραγωγικό μοντέλο, να ενισχύσουμε τις μικρομεσαίες επιχειρήσεις και να δώσουμε προοπτική για νέες δουλειές, επενδύοντας πρώτα απ' όλα στους νέους ανθρώπους της χώρας. 
#Συνέντευξη https://t.co/Rpuj4vq1ci"
9	Mon May 31 20:12:00 +0000 2021	Θα μας έχει απέναντι η κυβέρνηση αν ετοιμάζεται να μοιράσει τα χρήματα από το Ταμείο Ανάκαμψης, με τον τρόπο που μοιράζει το δημόσιο χρήμα σε ημέτερους με αφορμή και ευκαιρία την πανδημία. Το δημόσιο χρήμα ανήκει στoν ελληνικό λαό και όχι στους εκάστοτε διαχειριστές της εξουσίας.
10	Mon May 31 20:10:00 +0000 2021	Ο κ. Μητσοτάκης θέλει να μεγαλώσει την πελατεία των κολεγίων, μειώνοντας τους εισακτέους κατά 1/3. Το νομοσχέδιο για τις πανελλαδικές εξετάσεις είναι ένα ρουσφέτι στους ιδιοκτήτες των κολεγίων. #Συνέντευξη
11	Mon May 31 20:03:00 +0000 2021	Αυτά που νομοθετεί η κυβέρνηση της ΝΔ στις εργασιακές σχέσεις και στην Παιδεία δεν πρέπει να μας ξαφνιάζουν. Αυτός είναι ο πυρήνας της πολιτικής της. Η εξυπηρέτηση των ιδιωτών εις βάρος του δημοσίου συμφέροντος. #Συνέντευξη
12	Mon May 31 19:34:33 +0000 2021	Συνέντευξη στον τηλεοπτικό σταθμό «Star Κεντρικής Ελλάδας» @tvstargr και τον δημοσιογράφο Γιώργο Σιμόπουλο. https://t.co/BXHn6TQH3l
13	Mon May 31 17:57:06 +0000 2021	Ο ΣΥΡΙΖΑ δεσμεύεται ότι θα ανοίξει τη συζήτηση για τη μείωση του χρόνου εργασίας, χωρίς μείωση των αποδοχών και για μια πολιτική που θα δώσει την προοπτική νέων θέσεων εργασίας. Η ανάπτυξη πρέπει να συμπεριληπτική &amp; όχι για λίγους επιχειρηματικούς ομίλους. https://t.co/y0OCRqLOY5
14	Mon May 31 17:57:05 +0000 2021	Καλούμε τους εργαζόμενους να ενταχθούν σε συλλογικές και ενιαίες μορφές αγώνα απέναντι στον πόλεμο που έχει κηρύξει η κυβέρνηση της ΝΔ στον κόσμο της εργασίας.
15	Mon May 31 17:57:05 +0000 2021	Στη σημερινή επίσκεψή μου στη Χαλκίδα συναντήθηκα και συζήτησα με εργαζόμενους, ιδιοκτήτες καταστημάτων και πολίτες. Το νομοσχέδιο-έκτρωμα της κυβέρνησης καταργεί το 8ωρο, νομιμοποιεί τις απλήρωτες υπερωρίες, θεσμοθετεί τις ατομικές συμβάσεις.
16	Mon May 31 14:28:31 +0000 2021	Θα δώσουμε τη μάχη για να διασφαλιστούν οι θέσεις εργασίας στη ΛΑΡΚΟ. Η απάντηση στον πόλεμο με τον κόσμο της εργασίας που ξεκινάει η κυβέρνηση της ΝΔ θα είναι αγώνας μέχρι να διασφαλίσουμε ότι αυτές οι επιλογές θα μείνουν στα χαρτιά. https://t.co/WqcoaWejuF
17	Mon May 31 14:28:31 +0000 2021	Δεν μπορεί να υπάρξει βιώσιμη ανάπτυξη αν δεν προστατεύσουμε αυτούς που παράγουν αξία, τους εργαζόμενους. Δεν μπορεί να υπάρξει ανταγωνιστική οικονομία με καταβαράθρωση των μισθών και με διάλυση των σχέσεων εργασίας.
