	created_at	full_text
0	Fri Jun 04 18:15:48 +0000 2021	Η Κυβέρνηση, σήμερα, έχει αποδοχή και αντοχή. Αυτό όμως δεν είναι κάτι που πρέπει να μας καθησυχάζει. Πρέπει να αναμετρηθούμε όχι μόνο με το παρόν και με το μέλλον, αλλά και με τις προσδοκίες που έχουν οι πολίτες από μας. https://t.co/ln8KenzYMN https://t.co/A6va302snu
1	Fri Jun 04 18:15:46 +0000 2021	Η Νέα Δημοκρατία είναι ένας ζωντανός μηχανισμός διαβούλευσης με την κοινωνία. Θέλω να ενθαρρύνω όλα τα στελέχη μας να κρατήσουν ενεργό αυτόν τον τολμηρό, καινοτόμο, πρωτοποριακό, προοδευτικό ρόλο του κόμματος, καθώς σιγά σιγά αποκαθιστούμε τους ρυθμούς της κανονικότητας. https://t.co/TMekAXYS7i
2	Fri Jun 04 18:12:14 +0000 2021	Το 14ο Συνέδριο της ΝΔ θα γίνει Δεκέμβριο 2021. Είναι σημαντικό να κρατάμε την παράδοση των ετήσιων Συνεδρίων. Φέτος συμπίπτει με την εμβληματική χρονιά των 200 ετών από την έναρξη της ελληνικής Επανάστασης και με τα 40 χρόνια από την είσοδο της Ελλάδας στην ευρωπαϊκή οικογένεια. https://t.co/8imW5WZqkx
3	Thu Apr 29 16:56:25 +0000 2021	Η Μαρία Τσάκος ήταν ένας φωτεινός και ζεστός άνθρωπος. Είχα τη χαρά να τη γνωρίζω και η είδηση της απώλειάς της με στεναχώρησε βαθύτατα. Λέμε αντίο σε έναν υπέροχο άνθρωπο και σε μία πραγματικά φιλελεύθερη και προοδευτική φωνή. Ειλικρινή συλλυπητήρια στους αγαπημένους της.
4	Fri Mar 19 10:51:09 +0000 2021	Είναι πολύ όμορφο και συγκινητικό να βλέπεις για πρώτη φορά τον Εθνικό μας Ύμνο να αποδίδεται στη νοηματική γλώσσα. Συγχαρητήρια στους συντελεστές, εμπνευστές και εκτελεστές! https://t.co/6i28KceYMY
5	Wed Mar 17 19:01:50 +0000 2021	Thank you @jchatterleyCNN for a great discussion on the EU Digital Green Certificate. https://t.co/BUrnruDAjk
6	Wed Mar 03 19:24:13 +0000 2021	Ο στόχος μας ήταν πάντα να εγγυηθούμε ότι θα παραμείνει ακέραια η παραγωγική ικανότητα της χώρας, για να μπορέσουμε να επανεκκινήσουμε την οικονομική δραστηριότητα με το τέλος της πανδημίας. Σε διαδικτυακή συζήτηση που διοργάνωσε το @EPPGroup. https://t.co/nwGMA32k3Y
7	Wed Mar 03 19:24:12 +0000 2021	Όταν αφήσουμε πίσω μας την πανδημία, η προτεραιότητα της Ελλάδας θα είναι όχι μόνο να διασφαλίσουμε τη διατήρηση των υφιστάμενων θέσεων, αλλά να αντιμετωπίσουμε την εγγενή ανεργία με νέες, βιώσιμες θέσεις εργασίας που θα αμείβονται καλά. https://t.co/xbIW8cIkSk
8	Thu Feb 11 09:18:26 +0000 2021	"Θέλουμε πανεπιστήμια γνώσης και καινοτομίας, σε ένα περιβάλλον ασφάλειας και ελευθερίας. 

Και σε αυτά τα πανεπιστήμια, δεν χωράει η βία. Δεν χωράει ο εκφοβισμός. https://t.co/h73BnblIoQ"
9	Mon Jan 25 13:16:58 +0000 2021	RT @wef: Responding to the COVID-19 Crisis with John Micklethwait (@business), Anthony S. Fauci (@NIAIDNews), @NancyatHeart, Frans van Hout…
10	Sun Jan 24 20:07:00 +0000 2021	Εύχομαι περαστικά και ταχεία ανάρρωση στον γιο του κ. Τσίπρα και να ξεπεράσει η οικογένεια γρήγορα αυτήν τη δοκιμασία.
11	Mon Jan 18 14:10:00 +0000 2021	"Η Ελλάδα είναι έτοιμη να αυξήσει σημαντικά τους αριθμούς των εμβολίων. Είμαστε όμως εξαρτημένοι από τον αριθμό των εμβολίων που θα παραλάβουμε. Προφανώς, όσο περισσότερα εμβόλια παραλάβουμε τόσο πιο γρήγορα θα προχωρήσουμε.

Εισήγηση στην ΚΟ της ΝΔ. https://t.co/eWvSwrpKXF https://t.co/miCq4rOszM"
12	Mon Jan 18 14:09:58 +0000 2021	Έχουμε καλά επιδημιολογικά δεδομένα τις τελευταίες εβδομάδες, τα οποία επέτρεψαν στους ειδικούς να εισηγηθούν το άνοιγμα του λιανεμπορίου. Χαιρετίζουμε αυτή την εξέλιξη, θέλω όμως να επαναλάβω ότι αυτό το στοίχημα πρέπει να το κερδίσουμε όλοι, με συμπεριφορές υπευθυνότητας.
13	Mon Jan 18 14:09:57 +0000 2021	Σε κοινοβουλευτικό επίπεδο, αφιερώνουμε τις συνεδριάσεις των πρώτων εβδομάδων του έτους σε κρίσιμα θέματα εξωτερικής πολιτικής. Ολοκληρώσαμε τη σύμβαση αγοράς των αεροσκαφών Rafale και αυτές τις μέρες θα ψηφιστεί η επέκταση των χωρικών υδάτων προς δυσμάς στα 12 μίλια. https://t.co/BimoUzN4KA
14	Sat Jan 16 13:53:50 +0000 2021	Congratulations to @ArminLaschet on his election as the new chairman of the CDU. My friend Armin and I share the same values in the great @EPP family. I wish him every success for the benefit of bilateral relations and the strengthening of European cooperation and solidarity. https://t.co/0BLU6baELz
15	Fri Jan 01 11:47:56 +0000 2021	"Καλή χρονιά! Με υγεία και αισιοδοξία! 
#2021 🇬🇷 https://t.co/kT4pqTmxeO"
16	Fri Dec 18 14:45:50 +0000 2020	Ο τηλε-μαραθώνιος της @ONNED για την ενίσχυση των άστεγων συμπολιτών μας αξίζει κάθε στήριξη. Η κοινωνική δράση και ο εθελοντισμός αποτελούν τον δικό μας πολιτικό ακτιβισμό. Αυτές τις γιορτές, στέλνουμε #μαζί_από_απόσταση μήνυμα αλληλεγγύης και αγάπης. https://t.co/OBZhNDCHvo
17	Tue Dec 15 13:37:21 +0000 2020	"Οι αρχές, οι επιλογές και οι πολιτικές συμπεριφορές Ομπάμα αξίζουν να περάσουν τον Ατλαντικό για να φτάσουν στην Ευρώπη και στην Ελλάδα.

Μήνυμα στην παρουσίαση της ελληνικής έκδοσης του βιβλίου του Barack Obama «Γη της Επαγγελίας»."
